term,definition,lang,source
multi-load games,"Any creature or vehicle the player can use to traverse or use in combat. The arcade game Joust was the first to feature mounts, specifically of an ostrich and a stork.",en,wikipedia_glossary
multiplatform,See free look .,en,wikipedia_glossary
multiplayer,The set of moves or actions that a character can perform,en,wikipedia_glossary
multiplayer online battle arena (MOBA),1.  Abbreviation of magic points .,en,wikipedia_glossary
multiple character control,2.  Abbreviation of multiplayer .,en,wikipedia_glossary
multiple endings,"Also multi-user domain , multi-user dungeon . A multiplayer real-time virtual world, usually text-based.",en,wikipedia_glossary
multiplier,An online game virtual economy phenomenon in which endgame players become rich in currency and drive down the cost of rare items. [ 106 ],en,wikipedia_glossary
New Game Plus (NG+),"An option to play through an already-completed game's story again, carrying over characters, attributes, or equipment from a prior playthrough .",en,wikipedia_glossary
newbie ( newb ),"Someone new to the game, generally used as a pejorative, although often light-heartedly. Not as pejorative as noob .",en,wikipedia_glossary
noclip mode,"A cheat that allows players to pass through normally impenetrable objects – walls, ceilings, and floors – by disabling clipping . [ 13 ] : 119",en,wikipedia_glossary
no johns,"A term meaning ""no excuses"", generally used when a player proclaims false or exaggerated reasons for not playing well. Originates from the competitive Super Smash Bros. Melee community.",en,wikipedia_glossary
non-player character (NPC),"Also CPU . Abbreviation of non-player character or non-playable character , is a computer-controlled character or any character that is not under a player's direct control.",en,wikipedia_glossary
no-scope,"When a player uses a sniper rifle to achieve a kill without using its scope. Considered skillful, especially at range, as hipfired weapons usually have poor accuracy. Similar to quickscoping .",en,wikipedia_glossary
note highway,"A visual element of most rhythm game s that show the notes the player must match as they scroll along the screen. This is more commonly considered a ""highway"" when the notes scroll down the screen on a perspective-based grid, making it appear as a road highway. [ citation needed ]",en,wikipedia_glossary
oddball,"A game mode in the Halo series and a few other first-person shooters, where players on opposing teams attempt to capture and then hold on to a ball for as long as possible, while the opposing team tries to eliminate the player holding the ball in an attempt to get it back. [ 112 ]",en,wikipedia_glossary
old-school gaming,See retrogaming .,en,wikipedia_glossary
on-disc DLC,"Content that is on the physical media (usually a disc) of a game, but cannot be accessed without buying the content separately. Usually day-one DLC is assumed to be this, but not always. This term also includes data which is downloaded with a downloadable game but not accessible without payment. Not used for free-to-play or freemium games.",en,wikipedia_glossary
on rails,"A term that refers to gameplay in which the player can only progress in one direction with limited exploration or branching, similar to a dark ride at theme parks. While this is expected in certain genres, like rail shooters , it may be criticized in genres that normally allow for more exploration.",en,wikipedia_glossary
one-shot,"1.  To eliminate within a very short time frame, usually with only one shot or ability.",en,wikipedia_glossary
one-trick,2.  When an enemy is low on health and one shot away from elimination.,en,wikipedia_glossary
online game,When a player continually chooses to play as a specific character in a wide roster and often refuses to switch. [ 113 ],en,wikipedia_glossary
open beta,A game where part of the game engine is on a server and requires an Internet connection. Many multiplayer games support online play.,en,wikipedia_glossary
open world,The opposite of a closed beta ; the test players are not bound by non-disclosure agreements and are free to show the game to others. See also early access .,en,wikipedia_glossary
Overextend,"Abbreviation of one-trick pony, often used pejoratively, but can also be used boastfully if the person can consistently carry their team.",en,wikipedia_glossary
overpowered (OP),When a player or group of players are moving or moved far into the map where it could be the enemy's territory where they will be most likely outnumbered and destroyed.,en,wikipedia_glossary
overwatch,"An item, ability or other effect that is too powerful, disrupting game balance . Often a controversial term.",en,wikipedia_glossary
overworld,"In turn-based tactics games, a character ends their turn and fires upon any enemies who enter their line of sight, providing covering fire for other characters. [ 114 ]",en,wikipedia_glossary
pacifist run,"An attempt to reach the ending of a game while defeating as few enemies as possible, often exploiting various bugs and glitches.",en,wikipedia_glossary
pack-in game,A game that is included with the purchase of a video game console as a form of product bundling . See also launch game .,en,wikipedia_glossary
paddle,A game controller that primarily included a large dial that could be turned either clockwise or counter-clockwise to generate movement in one dimension within a game.,en,wikipedia_glossary
palette swap,"Video game characters which are graphically similar except for a hue-shifted palette . Typically done to preserve resources or data space that would otherwise be used up by different designs for the same character, especially for games with sprite-based graphics, though other reasons may exist for palette swaps, such as differentiating similar-looking characters with different properties (e.g. the Green and Red Koopa Troopas from the Super Mario series having different behaviors), or accommodating for the presence of more than one instance of the same unique character to avoid confusion or paradoxes, especially in multiplayer games where multiple players pick the same character.",en,wikipedia_glossary
paper doll,"A visual representation of the player character's currently used equipment, in which the items are displayed on top of an image of the character. See Role-playing video game § Items and inventory .",en,wikipedia_glossary
party,"1.  In a cooperative multiplayer game, a team of players working together to complete the same mission or quest . See Role-playing game § Game mechanics .",en,wikipedia_glossary
parry,"2.  In a single player game, a group of characters traveling together on a quest that the player may control or have the most direct access to. The characters themselves are typically referred to as ""party members"".",en,wikipedia_glossary
party game,"A block in fighting and action video games performed by precisely timing a defensive maneuver or block. Parries usually fully negate damage from the attack, and may reflect the attack or put the opponent at a momentary disadvantage. In return for these potential advantages, parries often present a risk-reward dynamic in which missing the precise timing leaves the user open to more damage than they would have suffered using a normal block",en,wikipedia_glossary
patch,"A multiplayer game, usually consisting of a series of short minigames, that can be easily played in a social setting.",en,wikipedia_glossary
pause,"The process by which a developer of a video game creates an update to an already released game with the intention of possibly adding new content, fixing any bugs in the current game, balancing character issues (especially prevalent in online multiplayer games with competitive focuses), or updating the game to be compatible with DLC releases. See also zero day patch .",en,wikipedia_glossary
paywall,"The option to temporarily suspend play of a video game, allowing the player to take a break or attend to an urgent matter outside of the game, or to perform other actions, such as adjusting options, saving the current game or ending the current game session. In multiplayer online or networked games, pausing may not be available as a feature, as such games require continuous activity from all participating players in order to properly function.",en,wikipedia_glossary
pay to win,A monetization method that requires players to spend money to access gameplay features.,en,wikipedia_glossary
pentakill,Commonly used when you or someone in the current lobby you are in does something that is above their current skill level.,en,wikipedia_glossary
peripheral,"Usually used within MOBAs , a pentakill occurs when a single player gets the killing blow on 5 opposing players in rapid succession, resulting in a team elimination. Comparable to ace .",en,wikipedia_glossary
perks,An optional hardware component for a video game system. [ 115 ],en,wikipedia_glossary
permadeath,"Special bonuses that video game players can add to their characters to give special abilities. Similar to power ups , but permanent.",en,wikipedia_glossary
persistent state world (PSW),"Also hardcore mode . Generally refers to when a player must restart the game from the beginning when their character dies, instead of from a saved game or save point . This may also refer to the case of a player having to restart the game due to failing to meet a certain objective. The term may also apply to squad-based games such as tactical role-playing games, if the death of the character eliminates that character from the game completely but the game may continue on with other characters.",en,wikipedia_glossary
pervasive game,An online game-world that exists independently of the players and is semi-permanently affected by their actions.,en,wikipedia_glossary
physical release,"A game that blends its in-game world with the physical world. [ 116 ] The term has been associated with ubiquitous games , mixed-reality games , and location-aware mobile games . [ 117 ] Examples of pervasive games include Pokémon Go and Pac-Manhattan . [ 118 ] [ 119 ]",en,wikipedia_glossary
physics game,"A version of a video game released on an optical disc or other storage device, as opposed to a digital download .",en,wikipedia_glossary
ping system,"1.  In online game s, the network latency between the client and server. See also lag . Can also be used like lagging , if there is a high network latency.",en,wikipedia_glossary
pity pull,2.  A means of highlighting a feature on a game's map that is seen on the user interface of allied players (as a part of a ping system ).),en,wikipedia_glossary
pixel hunting,"In co-operative multiplayer games, gameplay feature that allows players on the same team to visibly highlight, or ""ping"", other features on the map (such as waypoints, enemies, or treasure) to their allied players. While ping systems existed in various genres such as MOBAs before, Apex Legends in the late 2010s was cited with popularizing the system for first-person shooters that enabled effective communication between players without the need for voice chat. [ 120 ]",en,wikipedia_glossary
pixel-perfect,A mechanic in certain gacha games where a player will eventually be guaranteed a high-quality item after too many unsuccessful pulls .,en,wikipedia_glossary
plant,"A game element that involves searching an entire scene for a single (often pixel-sized) point of interactivity. Common in adventure games, most players consider 'hunt-the-pixel' puzzles to be a tedious chore, borne of inadequate game design. [ 121 ] The text-adventure version of this problem is called 'guess-the-verb' or 'syntax puzzle'.",en,wikipedia_glossary
platform,"An action that must be performed whilst being positioned within a pixel -wide gap for perfect execution. A pixel in this case may refer to a screen pixel or an in-game pixel, such as in video games that utilize pixel art .",en,wikipedia_glossary
platform game,"""Plants"" are often found in games that feature a variety of microtransactions. They are ""players"" who collude with game developers to promote unhealthy competition. These ""plants"" are discretely given free and powerful items by game developers. This is typically done to artificially create competition for the legitimate paying players so that the already paying players feel the need to spend more money to compete against this new ""player.""",en,wikipedia_glossary
platting,"1.  A buzzword for operating system , a video game is released for Windows or Android and so forth, not for PC, console or mobile. A corporation that controls a platform is referred to as a ""platform holder"".",en,wikipedia_glossary
player-character (PC),"Also platformer . Any video game, or genre which involves heavy use of jumping, climbing, and other acrobatic maneuvers to guide the player-character between suspended platforms and over obstacles in the game environment. [ 15 ]",en,wikipedia_glossary
player versus environment (PvE),"A term exclusive to PlayStation users that refers to obtaining all achievements of a game. The word ""plat"" refers to the platinum trophy, which is usually the most difficult achievement to obtain and often the last one to be unlocked. It is sometimes denoted as ""platinum"" when used as a verb.",en,wikipedia_glossary
player versus player (PvP),"When the performance of a player is decisive, skillful, or otherwise noteworthy, the events or actions of the player as a whole are referred to as a ""play"" (e.g. ""Nice play dude"").",en,wikipedia_glossary
player's handbook,"The character controlled and played by the human player in a video game. Often the game's main protagonist . Tidus from Final Fantasy X and Doomguy from the Doom series are all ""player-characters"" developed by their game studios. Compare with NPC .",en,wikipedia_glossary
playthrough,"Refers to fighting computer-controlled enemies ( non-player character s), as opposed to player versus player (PvP).",en,wikipedia_glossary
playtesting,"Refers to competing against other players, as opposed to player versus environment (PvE).",en,wikipedia_glossary
pocket (pocketing),See walkthrough .,en,wikipedia_glossary
pog/poggers,"The act of playing a game from start to finish, in one or several sessions. Compare with longplay .",en,wikipedia_glossary
point of no return,"A process in which game developers observe players (called playtesters) testing their game and what the user experience is like in real-time, in order to see where players get stuck, what information is and isn't communicated clearly, and which gameplay elements are found enjoyable or frustrating.",en,wikipedia_glossary
postgame,"From PogChamp , a term meaning great or awesome, often a play in a game.",en,wikipedia_glossary
popping off,A point in a game from which the player cannot return to previous areas.,en,wikipedia_glossary
power-up,See game port .,en,wikipedia_glossary
power creep,"Gameplay which takes place after completion of a game's storyline; the postgame may unlock new means to play the game, such as New Game Plus , additional minigames or sidegames, or even an additional, second storyline for the player to play through.",en,wikipedia_glossary
power spike,"Used mostly in the context of esports competitions or video game streaming , a gamer is said to ""pop off"" when they unexpectedly perform exceptionally well in a video game for a short period of time.",en,wikipedia_glossary
p-rank,An object that temporarily gives extra abilities or buff s to the game character. Persistent power-ups are called perks .,en,wikipedia_glossary
